# Constructed from biom file
#OTU ID	ARTIB17W0	ARTIB17W4	ARTIB18W0	ARTIB18W4	ARTIB19W0	ARTIB19W4	ARTIB20W0	ARTIB20W4	ARTIB21W0	ARTIB21W4	ARTIB22W0	ARTIB22W4	ARTIB23W0	ARTIB23W4	ARTIB24W0	ARTIB24W4	ARTIB25W0	ARTIB25W4	ARTIB26W0	ARTIB26W4	ARTIB27W0	ARTIB27W4	ARTIB28W0	ARTIB28W4	ARTIB29W0	ARTIB29W4	ARTIB30W0	ARTIB30W4	ARTIB31W0	ARTIB31W4	ARTIB32W0	ARTIB32W4	ARTIB33W0	ARTIB33W4	ARTIB34W0	ARTIB34W4	ARTIB35W0	ARTIB35W4	ARTIB36W0	ARTIB36W4	ARTIB37W0	ARTIB37W4	ARTIB38W0	ARTIB38W4	PMT11W0	PMT12W0	PMT1W0	PMT27W0	PMT34W0	PMT34W48	PMT35W0	PMT35W48	PMT36W0	PMT37W0	PMT37W48	PMT40W0	PMT40W48	PMT43W0	PMT43W48	PMT44W0	PMT46W48	PMT48W0	PMT4W0	PMT4W48	PMT50W48	PMT52W0	PMT52W48	PMT58W0	PMT60W0	PMT60W48	PMT62W0	PMT62W48	PMT63W0	PMT64W0	PMT69W0	PMT69W48	PMT7W0	PMT7W48	R10W24	R12W24	R14W48	R15W48	R16W48	R17W48	R19W48	R20W48	R21W48	R22W48	R24W48	R25W48	R26W48	R29W48	R30W48	R4W48	R5W48
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	3155.0	2608.0	1789.0	2655.0	5108.0	8095.0	1462.0	10255.0	5619.0	5171.0	6504.0	8403.0	7500.0	7782.0	2694.0	6488.0	4777.0	5327.0	13230.0	9324.0	5951.0	4948.0	4825.0	10212.0	3984.0	2634.0	6282.0	13741.0	15661.0	10810.0	6097.0	10460.0	6498.0	5209.0	3427.0	3590.0	5852.0	7854.0	11366.0	6507.0	4639.0	5182.0	6220.0	6515.0	1569.0	2668.0	4231.0	5230.0	4138.0	8389.0	3769.0	1567.0	0.0	5423.0	4640.0	5241.0	2728.0	3336.0	1128.0	2982.0	3511.0	14910.0	1938.0	6085.0	2419.0	2335.0	2166.0	944.0	2850.0	11657.0	1361.0	319.0	1103.0	5658.0	5959.0	10946.0	2696.0	4151.0	4427.0	4068.0	7864.0	1658.0	2342.0	2057.0	3033.0	1830.0	3376.0	1886.0	1332.0	1383.0	5224.0	598.0	1514.0	8637.0	2361.0
d__Bacteria;p__Firmicutes;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	6.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39	243.0	30.0	39.0	99.0	0.0	77.0	30.0	7.0	0.0	0.0	0.0	50.0	0.0	0.0	28.0	0.0	0.0	0.0	153.0	193.0	0.0	31.0	40.0	100.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	206.0	13.0	15.0	44.0	6.0	122.0	5.0	105.0	20.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	866.0	480.0	14.0	6.0	203.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	131.0	385.0	16.0	0.0	3.0	16.0	0.0	24.0	53.0	0.0	0.0	0.0	19.0	55.0	19.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	106.0	0.0	318.0	133.0	144.0	877.0	99.0	1169.0	1412.0	610.0	790.0	1776.0	608.0	1414.0	240.0	63.0	504.0	11566.0	294.0	32.0	305.0	699.0	742.0	44.0	0.0	1690.0	8543.0	2782.0	741.0	2631.0	360.0	46.0	1906.0	706.0	130.0	297.0	215.0	2033.0	1666.0	649.0	469.0	1535.0	0.0	95.0	31.0	29.0	450.0	39.0	5428.0	5090.0	17.0	129.0	1627.0	695.0	42.0	56.0	198.0	606.0	594.0	3681.0	362.0	2388.0	862.0	356.0	374.0	271.0	159.0	4639.0	16443.0	6178.0	6369.0	297.0	260.0	733.0	295.0	2092.0	16.0	250.0	327.0	47.0	17.0	25.0	170.0	32.0	921.0	25.0	3148.0	35.0	42.0	6.0	22.0	16.0	102.0	46.0	156.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010	0.0	108.0	20.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	14.0	10.0	16.0	29.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0	8.0	0.0	4.0	22.0	3.0	0.0	0.0	83.0	43.0	15.0	235.0	21.0	0.0	6.0	0.0	122.0	18.0	10.0	0.0	2.0	7.0	485.0	95.0	87.0	387.0	28.0	0.0	0.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	215.0	0.0	0.0	0.0	77.0	58.0	4.0	0.0	1501.0	133.0	5.0	11.0	9.0	146.0	6.0	251.0	21.0	43.0	0.0	70.0	126.0	500.0	83.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	0.0	0.0	158.0	0.0	600.0	10.0	83.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	18.0	0.0	0.0	1045.0	16.0	13.0	140.0	0.0	0.0	192.0	136.0	0.0	912.0	143.0	246.0	425.0	0.0	90.0	592.0	336.0	0.0	0.0	0.0	737.0	0.0	0.0	726.0	272.0	0.0	373.0	0.0	56.0	159.0	1137.0	0.0	16.0	0.0	266.0	245.0	342.0	230.0	200.0	251.0	222.0	357.0	348.0	77.0	187.0	364.0	0.0	104.0	325.0	208.0	86.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	2235.0	1593.0	711.0	3337.0	817.0	1444.0	1495.0	718.0	0.0	354.0	1726.0	1144.0	494.0	1394.0	523.0	708.0	1781.0	822.0	472.0	696.0	1283.0	708.0	751.0	1110.0	1010.0	735.0	305.0	464.0	0.0	0.0	367.0	883.0	1541.0	565.0	328.0	439.0	2238.0	527.0	5754.0	2137.0	559.0	379.0	172.0	1178.0	1047.0	483.0	1283.0	1021.0	1963.0	202.0	327.0	366.0	1191.0	629.0	2482.0	1027.0	1035.0	2494.0	1187.0	1074.0	893.0	0.0	2171.0	420.0	1059.0	2845.0	109.0	2370.0	1614.0	3832.0	1074.0	2780.0	1215.0	683.0	403.0	2369.0	3635.0	4922.0	470.0	681.0	1769.0	737.0	60.0	700.0	336.0	738.0	184.0	505.0	1078.0	440.0	1094.0	187.0	558.0	751.0	388.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	1579.0	1778.0	306.0	224.0	1237.0	55.0	242.0	59.0	0.0	0.0	0.0	0.0	1549.0	16.0	42.0	18.0	1232.0	177.0	1120.0	280.0	571.0	8.0	1335.0	798.0	1039.0	141.0	0.0	0.0	0.0	0.0	1963.0	3790.0	0.0	83.0	311.0	528.0	129.0	2137.0	347.0	0.0	38.0	4.0	442.0	419.0	1164.0	238.0	394.0	625.0	34.0	0.0	394.0	899.0	4421.0	977.0	566.0	1011.0	892.0	792.0	423.0	560.0	418.0	0.0	147.0	109.0	0.0	12.0	105.0	2767.0	155.0	51.0	130.0	1115.0	1146.0	3826.0	0.0	870.0	1995.0	5309.0	262.0	1046.0	272.0	576.0	716.0	1147.0	407.0	653.0	1983.0	505.0	903.0	666.0	113.0	632.0	665.0	1656.0	1269.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	197.0	421.0	30.0	152.0	258.0	35.0	187.0	188.0	10.0	0.0	12.0	41.0	18.0	154.0	17.0	140.0	208.0	97.0	269.0	548.0	76.0	110.0	255.0	464.0	65.0	60.0	6.0	0.0	0.0	23.0	90.0	69.0	77.0	52.0	446.0	94.0	516.0	364.0	259.0	69.0	44.0	0.0	1059.0	718.0	128.0	1948.0	703.0	27.0	57.0	239.0	203.0	111.0	11.0	59.0	742.0	61.0	161.0	64.0	29.0	310.0	180.0	0.0	37.0	367.0	141.0	37.0	0.0	53.0	184.0	35.0	13.0	609.0	542.0	0.0	0.0	0.0	275.0	100.0	74.0	48.0	4106.0	683.0	256.0	21.0	16.0	38.0	17.0	3.0	98.0	291.0	0.0	558.0	56.0	694.0	167.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	125.0	166.0	251.0	461.0	31.0	507.0	598.0	577.0	0.0	0.0	0.0	8.0	2.0	0.0	72.0	0.0	0.0	0.0	2760.0	2032.0	132.0	70.0	760.0	1576.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	302.0	111.0	1898.0	268.0	22.0	74.0	35.0	300.0	6585.0	154.0	2539.0	86.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	10.0	158.0	1339.0	101.0	115.0	0.0	491.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	90.0	0.0	0.0	2.0	14.0	3.0	0.0	0.0	216.0	343.0	0.0	8.0	437.0	694.0	0.0	22.0	0.0	61.0	10.0	50.0	255.0	0.0	0.0	142.0	106.0	555.0	250.0
