function	description	ARTIB17W0	ARTIB17W4	ARTIB18W0	ARTIB18W4	ARTIB19W0	ARTIB19W4	ARTIB20W0	ARTIB20W4	ARTIB21W0	ARTIB21W4	ARTIB22W0	ARTIB22W4	ARTIB23W0	ARTIB23W4	ARTIB24W0	ARTIB24W4	ARTIB25W0	ARTIB25W4	ARTIB26W0	ARTIB26W4	ARTIB27W0	ARTIB27W4	ARTIB28W0	ARTIB28W4	ARTIB29W0	ARTIB29W4	ARTIB30W0	ARTIB30W4	ARTIB31W0	ARTIB31W4	ARTIB32W0	ARTIB32W4	ARTIB33W0	ARTIB33W4	ARTIB34W0	ARTIB34W4	ARTIB35W0	ARTIB35W4	ARTIB36W0	ARTIB36W4	ARTIB37W0	ARTIB37W4	ARTIB38W0	ARTIB38W4	PMT11W0	PMT12W0	PMT1W0	PMT27W0	PMT34W0	PMT34W48	PMT35W0	PMT35W48	PMT36W0	PMT37W0	PMT37W48	PMT40W0	PMT40W48	PMT43W0	PMT43W48	PMT44W0	PMT46W48	PMT48W0	PMT4W0	PMT4W48	PMT50W48	PMT52W0	PMT52W48	PMT58W0	PMT60W0	PMT60W48	PMT62W0	PMT62W48	PMT63W0	PMT64W0	PMT69W0	PMT69W48	PMT7W0	PMT7W48	R10W24	R12W24	R14W48	R15W48	R16W48	R17W48	R19W48	R20W48	R21W48	R22W48	R24W48	R25W48	R26W48	R29W48	R30W48	R4W48	R5W48
EC:1.1.1.1	Alcohol dehydrogenase	36067.65	26671.16	25761.65	36467.0	35199.47	34133.51	27550.7	27165.43	30923.29	26136.78	42380.66	45942.93	36852.62	40212.42	22790.57	28676.08	42772.08	35693.55	30622.94	30389.9	33109.35	26444.35	35057.86	31968.27	32704.910000000003	23440.5	37807.45	38770.07	44876.00000000001	51510.060000000005	36519.62	37720.2	32446.6	31497.61	33876.11	34237.33	49741.41	52936.47	48216.37	37562.11	44693.82	38266.38	37619.17	50601.16	38933.42	45444.57	46761.32	26609.19	48740.73	48573.94	51425.89	32519.47	68448.69	46993.92999999999	51338.98	52864.67	60108.8	50303.73	35495.14	59855.41	53903.28999999999	106169.83	63941.56	70628.0	57818.33	87564.34	15510.73	75149.22	48288.76	52833.32000000001	45671.02	89860.95	55703.39	52652.69	56519.83	64624.55	55393.56	56196.33	32268.67	54756.95	69885.48999999999	44049.9	30116.25	32525.47	18765.18	30507.98	43535.66	27125.58	29919.83	24388.22	27765.81	27714.13	31281.07	51368.56	37271.04
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	86477.94	64220.00000000001	79363.82	98566.0	89883.01999999999	86036.03	71165.93000000001	59334.7	89491.87999999999	75254.28	95110.05	103213.66	98124.47	104866.46	55436.38999999999	57630.38	88809.72	67112.4	78588.11000000002	73199.87	78043.64	68502.45	94931.84	89148.55	81985.70999999999	56148.15	79748.61	100684.53	86389.98000000001	96156.8	97056.50999999998	96087.91	92980.37	85940.04999999999	56738.37	80593.04000000001	100324.52	127854.13	122361.52	103660.67	107421.63	98106.77	83656.62	100576.43	124090.67	124710.3	120983.80999999998	104835.27	95977.84	112834.27	159982.07	124524.94	165081.44	132742.16999999998	126557.39	133118.05	172020.33000000002	130824.6	106067.08	166130.38	152522.39	237126.9	155902.86	153469.66999999998	163032.84999999998	250565.37	44107.15	162818.91999999998	102696.93	144031.38	115517.55	250836.52	168662.61000000002	99021.91	177290.97999999998	128621.39	144752.91	154874.40999999997	116783.27	140099.51	163259.24	120622.50999999998	86662.51000000001	83146.98000000001	56646.44	86181.16	123454.86	71414.93	93715.48	80050.66	74423.45	57883.56	88523.61	140095.13	117783.85
EC:1.1.1.103	L-threonine 3-dehydrogenase	1441.0	697.3299999999999	1145.0	1390.0	1975.0	1302.0	1090.0	1630.0	2261.66	3610.34	2113.0	2159.0	2249.0	3983.67	910.0	1366.0	1543.0	1439.83	1912.0	2438.25	1224.67	1103.0	1673.0	1240.33	1067.83	1667.0	862.14	1416.0	2168.99	650.0	805.0	837.33	3577.67	2357.0	373.33	1046.67	9254.0	1741.33	2174.67	2814.67	1086.0	1319.71	1225.0	2007.0	1851.19	1690.67	1663.0	1656.0	2784.0	726.6700000000001	1575.0	1367.33	2615.0	1499.0	998.0	1427.0	2569.0	920.67	1336.0	3385.0	1982.0	14068.57	841.0	1194.0	3523.0	12066.0	1576.33	2186.93	3248.33	2523.67	613.6700000000001	3886.0	2827.0	1643.67	3268.5	1954.0	492.0	1268.0	1853.33	2548.4	4087.33	2502.0	1409.33	1355.0	747.0	1105.0	4008.33	1131.0	1230.67	1333.33	898.33	2395.67	1284.0	2607.34	1352.33
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33
EC:1.1.1.108	Carnitine 3-dehydrogenase	0.0	0.0	7.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	144.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	18.0	0.0	0.0	0.0	0.0	530.0	0.0	0.0	0.0	0.0	114.0	0.0	63.0	58.4	12.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.33
EC:1.1.1.11	D-arabinitol 4-dehydrogenase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	824.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	53.14	0.0	49.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	123.71	0.0	0.0	22.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.57	0.0	0.0	206.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	170.75	56.0	242.0	136.0	965.0	40.0	215.75	150.69	138.5	263.73	25.75	43.75	1090.0	2758.0	85.0	152.0	131.0	65.25	230.0	326.0	148.0	403.75	299.0	181.0	265.0	38.25	260.14	117.0	141.69	84.5	18.0	19.0	53.0	283.0	28.0	84.0	1676.0	42.0	198.69	133.0	525.0	447.71	191.0	121.0	1296.72	536.0	288.0	372.0	843.73	1409.25	461.5	261.0	2618.0	1500.0	220.0	159.0	1199.0	104.0	292.5	900.0	377.0	8955.57	21.0	84.0	1323.25	133.0	23.0	960.1	681.0	155.0	899.54	193.0	310.0	284.0	1656.0	44.75	314.0	77.0	617.0	4388.4	2928.5	614.0	428.0	1239.0	355.0	380.0	1650.0	256.0	392.0	387.0	38.0	321.0	606.0	815.0	271.0
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	14.0	38.0	71.0	0.0	338.17	0.0	180.0	0.67	4.0	99.2	0.0	0.0	50.0	90.0	0.0	0.66	0.0	0.0	0.0	21.0	0.0	180.0	103.0	0.0	9.5	0.0	36.94	74.2	81.3	30.0	10.0	56.0	2.0	39.0	9.0	0.0	1617.2	55.0	39.0	0.0	2.0	0.0	9.0	0.0	115.0	185.0	0.0	65.0	124.8	77.0	51.0	343.0	1193.8	325.17	169.0	55.0	673.0	61.0	125.0	862.0	469.0	7020.8	7.0	8.0	463.0	0.0	58.0	143.2	105.68	0.0	27.0	208.0	380.0	0.0	376.8	13.0	41.33	14.5	130.32999999999998	559.57	180.0	411.17	274.0	80.0	14.0	146.0	1080.1	76.5	222.0	325.0	14.0	108.0	302.0	251.0	254.0
EC:1.1.1.132	GDP-mannose 6-dehydrogenase	0.0	0.0	0.0	0.0	29.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	19.6	0.0	0.0	0.0	0.0	0.0	0.0	112.4	0.0	16.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
