function	description	ARTIB17W0	ARTIB17W4	ARTIB18W0	ARTIB18W4	ARTIB19W0	ARTIB19W4	ARTIB20W0	ARTIB20W4	ARTIB21W0	ARTIB21W4	ARTIB22W0	ARTIB22W4	ARTIB23W0	ARTIB23W4	ARTIB24W0	ARTIB24W4	ARTIB25W0	ARTIB25W4	ARTIB26W0	ARTIB26W4	ARTIB27W0	ARTIB27W4	ARTIB28W0	ARTIB28W4	ARTIB29W0	ARTIB29W4	ARTIB30W0	ARTIB30W4	ARTIB31W0	ARTIB31W4	ARTIB32W0	ARTIB32W4	ARTIB33W0	ARTIB33W4	ARTIB34W0	ARTIB34W4	ARTIB35W0	ARTIB35W4	ARTIB36W0	ARTIB36W4	ARTIB37W0	ARTIB37W4	ARTIB38W0	ARTIB38W4	PMT11W0	PMT12W0	PMT1W0	PMT27W0	PMT34W0	PMT34W48	PMT35W0	PMT35W48	PMT36W0	PMT37W0	PMT37W48	PMT40W0	PMT40W48	PMT43W0	PMT43W48	PMT44W0	PMT46W48	PMT48W0	PMT4W0	PMT4W48	PMT50W48	PMT52W0	PMT52W48	PMT58W0	PMT60W0	PMT60W48	PMT62W0	PMT62W48	PMT63W0	PMT64W0	PMT69W0	PMT69W48	PMT7W0	PMT7W48	R10W24	R12W24	R14W48	R15W48	R16W48	R17W48	R19W48	R20W48	R21W48	R22W48	R24W48	R25W48	R26W48	R29W48	R30W48	R4W48	R5W48
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	1517.75	1578.8300000000002	2986.75	3193.0	4114.87	889.57	1082.03	755.88	3710.66	2764.0	2268.25	4100.91	3036.12	2263.83	1069.74	1952.62	4812.38	3869.75	851.17	454.17	914.98	1175.0	1432.03	851.1700000000001	3651.42	1260.0	1541.7600000000002	884.0000000000001	2605.66	1370.29	571.76	630.47	550.23	1727.84	1881.75	1371.83	8440.43	2474.57	1763.26	2560.94	3718.66	3491.03	1517.17	359.33	5531.71	7997.3	1048.92	1971.42	11690.23	2822.25	9314.42	3231.08	11352.92	9479.3	5027.34	3794.45	5877.09	3680.67	3234.67	7771.58	8101.42	14230.27	8189.33	11260.5	5042.34	522.17	1352.24	13278.18	3759.76	4931.58	2694.0	12568.88	7717.66	12647.25	13464.8	2425.34	3850.83	3799.0	5752.25	8019.78	8203.7	5583.99	3673.56	5388.17	5685.99	6238.31	6945.549999999999	5974.92	5135.16	2244.83	3613.18	5919.4	4890.61	7657.98	3720.42
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57	0.0	23.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.86	0.0	0.0
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	41311.12	34057.16	27094.45	41753.08	30777.22	41561.75	25512.75	30633.5	42703.23	36886.79	46193.2	52376.76	41949.490000000005	47322.16	28524.91	34260.4	42884.0	31743.13	36692.26	33502.54	41420.55	34412.55	42242.51	42125.14	38952.11	28363.0	41519.100000000006	45103.17	43562.35	42769.97	45136.14	43939.62	43703.600000000006	39222.97	33463.869999999995	43021.66	38864.630000000005	54440.28	56679.95	46232.08	48599.25	46120.1	41437.09	49892.33	37909.490000000005	38305.3	56773.53	29484.89	44282.8	48190.98	49674.24	36372.12	61741.67	46407.64	47134.16	55265.75	56411.11	48494.990000000005	38402.49	59318.5	50896.35	103331.02	72349.03	83097.67	58003.11	102731.42	19205.19	58852.98	42758.030000000006	47851.46000000001	49375.130000000005	88903.04	56248.2	39813.06	63406.71	56352.55	54042.45	64500.66	35240.1	53661.82	54941.15	42560.37	33785.15	29285.07	20707.42	33673.0	43297.41	26079.75	27460.5	23261.19	25055.48	23357.620000000003	29197.82	44003.88	33559.98
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	84.95	78.0	59.53	33.5	179.8	182.4	42.42	267.0	290.9	148.7	132.95	354.85	137.03	303.53	63.4	2.0	214.5	2124.88	110.6	127.4	56.4	32.55	239.4	443.8	44.0	452.25	1622.15	291.1	93.67	585.9699999999999	45.0	16.2	400.2	288.8	263.0	64.13	554.2	261.13	464.2	191.0	2392.66	2491.33	220.0	117.0	2.4	945.8	195.53	28.8	1642.1	1114.43	258.9	174.2	630.4	132.4	66.4	42.8	90.27	139.4	133.9	1799.33	199.6	573.9	178.53	151.0	88.25	20.0	31.0	900.0300000000001	3546.4	1370.47	1343.8	104.2	302.0	126.8	138.2	424.35	116.2	91.33	53.13	22.4	4144.4	452.0	82.8	13.4	203.6	9.0	644.0699999999999	75.0	119.6	113.2	4.4	312.2	116.8	415.2	54.73
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	20936.870000000003	14795.0	11132.95	17997.58	16885.22	29064.02	9047.58	23646.44	25831.230000000003	23259.5	25391.120000000003	29386.18	31034.870000000003	38095.4	15748.75	17692.4	19412.54	15336.36	25612.4	21257.45	29594.15	22727.8	22500.230000000003	24843.8	20077.94	15085.5	22953.4	29497.5	28083.17	21278.55	24575.050000000003	26520.03	27559.340000000004	25207.8	22896.25	20528.97	19039.16	20134.6	35991.39	28227.67	28587.67	30466.61	24426.92	26410.5	20869.12	15205.63	23959.53	18245.72	23790.09	35412.29	17912.57	14219.62	16901.5	24926.65	26508.49	24903.13	27021.02	17959.239999999998	17209.32	28895.92	22595.93	29662.1	21086.2	36936.42	23148.69	44765.75	8757.52	16019.98	20476.76	25637.63	29514.34	30874.870000000003	23444.67	16468.31	31396.550000000003	40794.63	14918.95	31304.83	22816.44	26478.07	18093.23	17631.25	17102.58	12498.57	11858.93	15648.33	21166.56	12092.83	12839.44	9964.69	16988.809999999998	7765.95	12826.71	25823.120000000003	13883.65
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	824.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	53.14	0.0	49.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	123.71	0.0	0.0	22.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.57	0.0	0.0	206.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	19824.5	15751.83	15885.0	25202.0	20077.0	28339.73	13997.0	18774.69	26215.33	23257.460000000003	26924.33	28677.0	32551.33	35297.47	11801.0	14588.0	28345.53	21928.6	34168.4	27574.19	19137.42	16579.0	28472.16	29496.0	21803.0	16536.0	24586.6	39278.2	42274.47	37371.0	30279.0	32468.0	26931.0	21917.0	9981.25	18107.5	42022.87	46970.83	36357.36	27079.0	28716.33	24901.33	23795.0	22356.0	19286.0	26078.5	26815.0	17651.0	20128.89	32156.8	21892.0	17064.0	32107.8	28554.0	26404.0	22616.24	32984.0	24888.0	19391.5	31378.0	30708.5	123796.72	30167.0	32639.0	31528.0	42329.0	11380.0	44436.95	17934.0	39247.0	21679.54	62266.0	34589.0	22087.0	45744.3	33613.0	26253.5	45025.0	20606.0	26356.4	35442.5	23528.5	18210.0	14328.0	12427.0	19045.5	30057.85	12790.0	18365.0	15136.33	18282.0	14597.67	16254.16	28191.34	21165.33
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	3379.5	4272.5	3093.5	3528.0	3461.0	4782.7	2187.25	6687.25	3063.5	3548.0	4201.0	5765.5	5170.5	6511.0	1845.5	4072.5	6651.0	3773.95	9011.75	6269.75	10086.0	4585.75	3107.25	5835.67	5282.0	2203.25	3830.89	8017.5	13071.49	6567.25	3903.0	5888.75	3366.9	3253.5	13690.75	3627.0	9274.7	5220.65	8034.75	3916.5	5720.25	6715.91	6123.0	3991.0	2044.36	2613.5	2489.5	5038.0	5258.25	8875.0	5082.5	4439.5	991.5	6545.5	5733.0	5813.0	5580.25	4966.0	4379.0	4762.75	5418.25	33299.42	13735.0	5826.25	7297.5	1733.5	2287.0	6958.0	3535.0	8828.0	6043.5	3159.5	2042.5	3119.75	7270.5	14645.5	7225.0	16195.5	3623.5	3699.25	5551.75	3329.12	1501.5	2245.5	4194.5	5599.0	6011.4	3464.75	4852.5	1373.0	5382.0	1007.0	2677.75	5285.25	2413.5
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	599.0	515.0	939.0	582.0	1202.0	367.71	1202.36	1109.67	758.0	1309.3200000000002	550.0	751.0	1961.29	3155.0	758.0	556.29	1950.0	1052.2	2162.0	806.43	828.0	305.0	1398.0	256.0	466.5	238.0	828.14	1206.0	5288.79	953.29	411.0	1152.71	395.0	269.0	446.0	573.0	3781.57	1777.5	1212.81	961.36	1201.0	815.71	3075.0	808.0	691.01	4756.71	426.0	816.0	1000.32	2589.0	1121.0	1499.0	295.0	1667.0	1057.5	1099.0	3877.0	2326.0	1900.5	2984.0	2899.0	954.57	6618.5	703.0	4845.0	826.0	848.5699999999999	14210.0	1138.0	3815.0	3076.08	3208.71	2052.0	994.07	7607.14	682.0	3249.0	11815.0	768.0	1424.21	6514.139999999999	2710.57	804.0	1126.0	289.0	1163.14	4882.57	861.0	2846.0	445.0	1960.43	2009.86	1321.0	2466.64	1080.43
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	19052.15	13744.17	23948.2	17339.76	30786.57	10902.170000000002	23177.82	11328.69	15704.32	15603.509999999998	20411.27	22543.99	15404.3	14272.9	12845.72	15559.71	22504.35	15698.57	11304.62	14649.38	12900.06	10117.4	16227.75	16357.23	10660.99	8446.65	15764.259999999998	15035.89	23326.83	25828.2	16631.53	11653.25	13862.77	13908.91	12579.53	15388.09	30968.44	27275.6	23720.1	15949.57	13773.88	10112.34	17124.120000000003	24359.43	48159.41	46353.78	31488.120000000003	51350.88	18231.41	14944.48	59264.91	55522.23	39502.65	45079.49	31174.640000000003	49137.76	56718.95	43871.52	34431.92	49444.54000000001	44063.29000000001	62114.97	60075.32	28204.67	61084.96000000001	48744.12	12802.7	44352.07	35663.270000000004	58749.61	33538.009999999995	69285.43	50139.78999999999	39081.04	60908.09	27959.230000000003	44473.380000000005	30933.33	45790.45	43529.350000000006	53224.51	34600.57000000001	22725.78	29812.91	15132.35	22206.69	41529.81	21490.27	35676.16	33735.39	25495.88	19711.04	30018.55	52386.19	50442.71000000001
